,0
283,68.799162
284,64.511433
285,73.248353
286,272.290877
287,168.117380
288,163.354957
289,165.952168
290,142.484054
291,96.102957
292,66.162114
293,85.678022
294,86.488595
295,83.804520
296,95.145244
297,79.463802
298,74.920134
299,78.279529
300,85.339492
301,71.815264
302,88.257785
303,93.948846
304,69.491463
305,49.125134
306,31.592768
307,23.662444
308,15.798158
309,29.623982
310,31.733065
311,25.777355
312,14.323840
313,15.570894
314,7.924674
315,16.283539
316,19.775899
317,21.324334
318,24.499634
319,23.001914
320,21.088094
321,20.846063
322,25.405039
323,29.619680
324,31.132960
325,32.395750
326,58.659349
327,79.749440
328,89.643373
329,89.959382
330,102.669748
331,95.030734
332,87.891498
333,144.065017
334,224.616772
335,257.387201
336,290.862150
337,262.087355
338,208.255071
339,152.281274
340,117.358513
341,104.215221
342,110.021007
343,138.654520
344,123.092017
345,153.354890
346,131.016824
347,132.250865
348,144.983257
349,153.743802
350,156.030781
351,160.614886
352,209.130002
353,252.369778
354,280.340887
355,287.859275
356,283.810837
357,280.652230
358,254.213071
359,214.353100
360,166.095368
361,155.782299
362,153.670617
363,221.877620
364,220.165899
365,190.295582
366,168.430115
367,191.687887
368,247.312601
369,174.613312
370,180.606296
371,159.521882
372,174.184778
373,186.084941
374,201.736418
375,225.623275
376,269.885803
377,288.130744
378,348.025124
379,306.178659
380,339.400565
381,295.896192
382,301.888761
383,327.219556
384,384.932846
385,454.064990
386,374.243203
387,234.094103
388,147.032626
389,143.014271
390,191.962601
391,167.331157
392,142.433591
393,151.895621
394,149.570220
395,160.606680
396,181.692145
397,198.266750
398,215.076891
399,249.906969
400,464.978824
401,460.383033
402,410.981152
403,379.166926
404,438.386156
405,371.000613
406,418.570636
407,342.519032
408,284.459799
409,265.809638
410,326.676972
411,359.651314
412,403.476984
413,303.969012
414,359.575656
415,341.446039
416,368.322767
417,315.445456
418,333.903331
419,324.779705
420,337.696325
421,365.884515
422,389.480113
423,555.304871
424,425.105463
425,427.395597
426,390.124365
427,347.446606
428,367.618083
429,394.758845
430,426.502152
431,391.810595
432,269.864593
433,77.798991
434,71.445133
435,45.221389
436,47.191430
437,41.172948
438,41.470061
439,31.883382
440,25.367040
441,22.524701
442,23.838037
443,11.879271
444,17.063911
445,21.865437
446,16.929628
447,6.592149
448,18.092736
449,10.660664
450,13.888086
451,14.089644
452,12.317655
453,12.166316
454,11.156628
455,11.026833
456,10.981035
457,9.135038
458,12.598863
459,10.167373
460,11.845982
461,11.970867
462,12.022568
463,19.457653
464,20.258096
465,19.668136
466,18.755606
